seq_id,muni_id,municipal,cal_year,naicscode,naicstitle,avgemp,estab,avgwkwage,adj_year,avgwageadj
151594,352,MAPC Region,2017,621,Ambulatory health care services,99218,5752,,,
151611,352,MAPC Region,2017,622,Hospitals,105549,49,,,
151628,352,MAPC Region,2017,623,Nursing and residential care facilities,43127,1037,,,
151645,352,MAPC Region,2017,624,Social assistance,67391,15831,,,
151662,352,MAPC Region,2017,711,Performing arts and spectator sports,8645,449,,,
151679,352,MAPC Region,2017,712,"Museums, historical sites, zoos, and parks",3429,84,,,
151696,352,MAPC Region,2017,713,"Amusements, gambling, and recreation",23477,1285,,,
151713,352,MAPC Region,2017,721,Accommodation,20438,348,,,
151764,352,MAPC Region,2017,812,Personal and laundry services,27657,3694,,,
151730,352,MAPC Region,2017,722,Food services and drinking places,152967,8242,,,
151747,352,MAPC Region,2017,811,Repair and maintenance,12603,2391,,,
151781,352,MAPC Region,2017,813,Membership associations and organizations,22626,2109,,,
151798,352,MAPC Region,2017,814,Private households,5021,4529,,,
151815,352,MAPC Region,2017,921,"Executive, legislative and general government",5408,94,,,
151832,352,MAPC Region,2017,922,"Justice, public order, and safety activities",13618,191,,,
151849,352,MAPC Region,2017,923,Administration of human resource programs,139,5,,,
151866,352,MAPC Region,2017,924,Administration of environmental programs,2624,41,,,
151883,352,MAPC Region,2017,925,Community and housing program administration,1623,10,,,
151900,352,MAPC Region,2017,926,Administration of economic programs,5865,76,,,
151917,352,MAPC Region,2017,928,National security and international affairs,668,6,,,
150444,352,MAPC Region,2017,101,Goods-Producing,189269,12161,,,
150461,352,MAPC Region,2017,102,Service-Providing,1852245,108467,,,
150478,352,MAPC Region,2017,111,Crop production,500,13,,,
150495,352,MAPC Region,2017,114,"Fishing, hunting and trapping",130,72,,,
150512,352,MAPC Region,2017,115,Agriculture and forestry support activities,154,25,,,
150519,352,MAPC Region,2017,213,Support activities for mining,39,6,,,
150536,352,MAPC Region,2017,221,Utilities,4279,103,,,
150553,352,MAPC Region,2017,236,Construction of buildings,17935,2474,,,
150570,352,MAPC Region,2017,237,Heavy and civil engineering construction,9400,318,,,
150587,352,MAPC Region,2017,238,Specialty trade contractors,51995,6112,,,
150604,352,MAPC Region,2017,311,Food manufacturing,10734,340,,,
150611,352,MAPC Region,2017,312,Beverage and tobacco product manufacturing,773,25,,,
150634,352,MAPC Region,2017,314,Textile product mills,144,21,,,
150651,352,MAPC Region,2017,315,Apparel manufacturing,352,8,,,
150682,352,MAPC Region,2017,321,Wood product manufacturing,86,4,,,
150699,352,MAPC Region,2017,322,Paper manufacturing,629,14,,,
150716,352,MAPC Region,2017,323,Printing and related support activities,3185,242,,,
150838,352,MAPC Region,2017,335,Electrical equipment and appliance mfg.,1282,37,,,
150735,352,MAPC Region,2017,325,Chemical manufacturing,8214,114,,,
150752,352,MAPC Region,2017,326,Plastics and rubber products manufacturing,611,21,,,
150769,352,MAPC Region,2017,327,Nonmetallic mineral product manufacturing,440,37,,,
150787,352,MAPC Region,2017,332,Fabricated metal product manufacturing,7862,362,,,
150804,352,MAPC Region,2017,333,Machinery manufacturing,2463,83,,,
150821,352,MAPC Region,2017,334,Computer and electronic product manufacturing,18997,249,,,
150855,352,MAPC Region,2017,336,Transportation equipment manufacturing,249,9,,,
150872,352,MAPC Region,2017,337,Furniture and related product manufacturing,550,51,,,
150889,352,MAPC Region,2017,339,Miscellaneous manufacturing,4254,186,,,
150906,352,MAPC Region,2017,423,"Merchant wholesalers, durable goods",32123,2110,,,
150923,352,MAPC Region,2017,424,"Merchant wholesalers, nondurable goods",21555,1072,,,
150940,352,MAPC Region,2017,425,Electronic markets and agents and brokers,10365,2223,,,
150957,352,MAPC Region,2017,441,Motor vehicle and parts dealers,16540,717,,,
150974,352,MAPC Region,2017,442,Furniture and home furnishings stores,5005,492,,,
150991,352,MAPC Region,2017,443,Electronics and appliance stores,4077,243,,,
151008,352,MAPC Region,2017,444,Building material and garden supply stores,8910,515,,,
151025,352,MAPC Region,2017,445,Food and beverage stores,48343,2480,,,
151042,352,MAPC Region,2017,446,Health and personal care stores,14492,1283,,,
151059,352,MAPC Region,2017,447,Gasoline stations,4572,751,,,
151076,352,MAPC Region,2017,448,Clothing and clothing accessories stores,22750,1795,,,
151127,352,MAPC Region,2017,453,Miscellaneous store retailers,9319,1076,,,
151093,352,MAPC Region,2017,451,"Sports, hobby, music instrument, book stores",7514,564,,,
151110,352,MAPC Region,2017,452,General merchandise stores,19842,284,,,
151144,352,MAPC Region,2017,454,Nonstore retailers,8682,506,,,
151161,352,MAPC Region,2017,481,Air transportation,7564,62,,,
151175,352,MAPC Region,2017,483,Water transportation,15,3,,,
151192,352,MAPC Region,2017,484,Truck transportation,5243,575,,,
151209,352,MAPC Region,2017,485,Transit and ground passenger transportation,14058,376,,,
151226,352,MAPC Region,2017,487,Scenic and sightseeing transportation,1267,38,,,
151243,352,MAPC Region,2017,488,Support activities for transportation,5606,340,,,
151260,352,MAPC Region,2017,492,Couriers and messengers,2386,78,,,
151277,352,MAPC Region,2017,493,Warehousing and storage,994,26,,,
151311,352,MAPC Region,2017,512,Motion picture and sound recording industries,2138,225,,,
151294,352,MAPC Region,2017,511,"Publishing industries, except Internet",28988,947,,,
151328,352,MAPC Region,2017,515,"Broadcasting, except Internet",2591,42,,,
151351,352,MAPC Region,2017,517,Telecommunications,6514,536,,,
151368,352,MAPC Region,2017,518,"Data processing, hosting and related services",3627,217,,,
151385,352,MAPC Region,2017,519,Other information services,8363,423,,,
151402,352,MAPC Region,2017,522,Credit intermediation and related activities,32610,1731,,,
151419,352,MAPC Region,2017,523,"Securities, commodity contracts, investments",38928,2305,,,
151436,352,MAPC Region,2017,524,Insurance carriers and related activities,42184,1707,,,
151453,352,MAPC Region,2017,525,"Funds, trusts, and other financial vehicles",13,21,,,
151470,352,MAPC Region,2017,531,Real estate,25299,3492,,,
151487,352,MAPC Region,2017,532,Rental and leasing services,5559,438,,,
151509,352,MAPC Region,2017,541,Professional and technical services,241502,18735,,,
151526,352,MAPC Region,2017,551,Management of companies and enterprises,43060,725,,,
151543,352,MAPC Region,2017,561,Administrative and support services,104513,5597,,,
151577,352,MAPC Region,2017,611,Educational services,170340,1949,,,
151560,352,MAPC Region,2017,562,Waste management and remediation services,4105,236,,,
151831,352,MAPC Region,2016,922,"Justice, Public Order, and Safety Activi",13458,189,,,
151593,352,MAPC Region,2016,621,Ambulatory Health Care Services,97278,5718,,,
151610,352,MAPC Region,2016,622,Hospitals,102590,49,,,
151627,352,MAPC Region,2016,623,Nursing and Residential Care Facilities,42072,901,,,
151644,352,MAPC Region,2016,624,Social Assistance,64807,14926,,,
151661,352,MAPC Region,2016,711,Performing Arts and Spectator Sports,8617,457,,,
151678,352,MAPC Region,2016,712,"Museums, Parks and Historical Sites",3369,77,,,
151695,352,MAPC Region,2016,713,"Amusement, Gambling & Recreation Ind",22794,1227,,,
151712,352,MAPC Region,2016,721,Accommodation,20595,365,,,
151729,352,MAPC Region,2016,722,Food Services and Drinking Places,149060,8130,,,
151746,352,MAPC Region,2016,811,Repair and Maintenance,12781,2391,,,
151763,352,MAPC Region,2016,812,Personal and Laundry Services,26762,3606,,,
151780,352,MAPC Region,2016,813,Membership Organizations & Associations,22788,2055,,,
151797,352,MAPC Region,2016,814,Private Households,5091,4688,,,
151814,352,MAPC Region,2016,921,"Executive, Legislative, & Gen Government",5537,94,,,
151848,352,MAPC Region,2016,923,Administration of Human Resource Program,139,6,,,
151865,352,MAPC Region,2016,924,Administration of Environmental Programs,2691,40,,,
151882,352,MAPC Region,2016,925,Community and Housing Program Admin,1647,12,,,
151899,352,MAPC Region,2016,926,Administration of Economic Programs,5776,70,,,
151916,352,MAPC Region,2016,928,National Security & International Affair,662,6,,,
150443,352,MAPC Region,2016,101,Goods-Producing Domain,188574,11961,,,
150460,352,MAPC Region,2016,102,Service-Providing Domain,1825715,106835,,,
150477,352,MAPC Region,2016,111,Crop Production,490,17,,,
150494,352,MAPC Region,2016,114,"Fishing, Hunting and Trapping",129,71,,,
150511,352,MAPC Region,2016,115,Agriculture & Forestry Support Activity,142,23,,,
150518,352,MAPC Region,2016,213,Support Activities for Mining,40,6,,,
150535,352,MAPC Region,2016,221,Utilities,4276,98,,,
150552,352,MAPC Region,2016,236,Construction of Buildings,17041,2379,,,
150569,352,MAPC Region,2016,237,Heavy and Civil Engineering Construction,8483,296,,,
150586,352,MAPC Region,2016,238,Specialty Trade Contractors,49944,5911,,,
150603,352,MAPC Region,2016,311,Food Manufacturing,10615,341,,,
150610,352,MAPC Region,2016,312,Beverage & Tobacco Product Manufacturing,617,18,,,
150633,352,MAPC Region,2016,314,Textile Product Mills,195,28,,,
150650,352,MAPC Region,2016,315,Apparel Manufacturing,419,9,,,
150681,352,MAPC Region,2016,321,Wood Product Manufacturing,156,11,,,
150698,352,MAPC Region,2016,322,Paper Manufacturing,650,17,,,
150715,352,MAPC Region,2016,323,Printing and Related Support Activities,3209,246,,,
150734,352,MAPC Region,2016,325,Chemical Manufacturing,8256,108,,,
150751,352,MAPC Region,2016,326,Plastics & Rubber Products Manufacturing,659,25,,,
150768,352,MAPC Region,2016,327,Nonmetallic Mineral Product Mfg,329,24,,,
150837,352,MAPC Region,2016,335,Electrical Equipment and Appliances,1237,41,,,
150786,352,MAPC Region,2016,332,Fabricated Metal Product Manufacturing,7623,367,,,
150803,352,MAPC Region,2016,333,Machinery Manufacturing,2277,84,,,
150820,352,MAPC Region,2016,334,Computer and Electronic Product Mfg,21326,269,,,
150854,352,MAPC Region,2016,336,Transportation Equipment Manufacturing,386,15,,,
150871,352,MAPC Region,2016,337,Furniture and Related Product Mfg,482,43,,,
150888,352,MAPC Region,2016,339,Miscellaneous Manufacturing,3914,188,,,
150905,352,MAPC Region,2016,423,"Merchant Wholesalers, Durable Goods",31714,2061,,,
150922,352,MAPC Region,2016,424,"Merchant Wholesalers, Nondurable Goods",21563,1053,,,
150939,352,MAPC Region,2016,425,Electronic Markets and Agents/Brokers,10532,2317,,,
150956,352,MAPC Region,2016,441,Motor Vehicle and Parts Dealers,16153,719,,,
150973,352,MAPC Region,2016,442,Furniture and Home Furnishings Stores,4942,494,,,
150990,352,MAPC Region,2016,443,Electronics and Appliance Stores,4333,283,,,
151007,352,MAPC Region,2016,444,Building Material & Garden Supply Stores,9280,544,,,
151024,352,MAPC Region,2016,445,Food and Beverage Stores,48793,2511,,,
151058,352,MAPC Region,2016,447,Gasoline Stations,4507,754,,,
151041,352,MAPC Region,2016,446,Health and Personal Care Stores,14029,1277,,,
151075,352,MAPC Region,2016,448,Clothing and Clothing Accessories Stores,22490,1885,,,
151109,352,MAPC Region,2016,452,General Merchandise Stores,19871,291,,,
151092,352,MAPC Region,2016,451,Sporting Goods/Hobby/Book/Music Stores,7595,587,,,
151126,352,MAPC Region,2016,453,Miscellaneous Store Retailers,9214,1086,,,
151143,352,MAPC Region,2016,454,Nonstore Retailers,8167,495,,,
151160,352,MAPC Region,2016,481,Air Transportation,7476,60,,,
151174,352,MAPC Region,2016,483,Water Transportation,24,7,,,
151191,352,MAPC Region,2016,484,Truck Transportation,5274,532,,,
151208,352,MAPC Region,2016,485,Transit and Ground Passenger Transport,14332,354,,,
151225,352,MAPC Region,2016,487,Scenic and Sightseeing Transportation,1191,36,,,
151242,352,MAPC Region,2016,488,Support Activities for Transportation,5212,353,,,
151259,352,MAPC Region,2016,492,Couriers and Messengers,2450,82,,,
151276,352,MAPC Region,2016,493,Warehousing and Storage,1083,28,,,
151293,352,MAPC Region,2016,511,Publishing Industries,26789,883,,,
151310,352,MAPC Region,2016,512,Motion Picture & Sound Recording Ind,2191,221,,,
151327,352,MAPC Region,2016,515,Broadcasting (except Internet),2424,38,,,
151350,352,MAPC Region,2016,517,Telecommunications,6179,510,,,
151367,352,MAPC Region,2016,518,"ISPs, Search Portals, & Data Processing",3407,187,,,
151384,352,MAPC Region,2016,519,Other Information Services,7963,388,,,
151401,352,MAPC Region,2016,522,Credit Intermediation & Related Activity,32959,1700,,,
151418,352,MAPC Region,2016,523,Financial Investment & Related Activity,38468,2184,,,
151435,352,MAPC Region,2016,524,Insurance Carriers & Related Activities,42749,1719,,,
151452,352,MAPC Region,2016,525,"Funds, Trusts & Other Financial Vehicles",11,13,,,
151469,352,MAPC Region,2016,531,Real Estate,24473,3431,,,
151486,352,MAPC Region,2016,532,Rental and Leasing Services,5615,436,,,
151508,352,MAPC Region,2016,541,Professional and Technical Services,234762,18651,,,
151525,352,MAPC Region,2016,551,Management of Companies and Enterprises,42027,725,,,
151542,352,MAPC Region,2016,561,Administrative and Support Services,105151,5678,,,
151559,352,MAPC Region,2016,562,Waste Management and Remediation Service,3627,200,,,
151576,352,MAPC Region,2016,611,Educational Services,167536,1867,,,
151592,352,MAPC Region,2015,621,Ambulatory Health Care Services,93973,5699,,,
151609,352,MAPC Region,2015,622,Hospitals,102069,51,,,
151626,352,MAPC Region,2015,623,Nursing and Residential Care Facilities,41728,892,,,
151643,352,MAPC Region,2015,624,Social Assistance,62314,13113,,,
151660,352,MAPC Region,2015,711,Performing Arts and Spectator Sports,8044,451,,,
151677,352,MAPC Region,2015,712,"Museums, Parks and Historical Sites",3284,73,,,
151694,352,MAPC Region,2015,713,"Amusement, Gambling & Recreation Ind",21922,1206,,,
151830,352,MAPC Region,2015,922,"Justice, Public Order, and Safety Activi",13346,180,,,
151711,352,MAPC Region,2015,721,Accommodation,20232,349,,,
151728,352,MAPC Region,2015,722,Food Services and Drinking Places,143523,8050,,,
151745,352,MAPC Region,2015,811,Repair and Maintenance,12474,2402,,,
151762,352,MAPC Region,2015,812,Personal and Laundry Services,25857,3523,,,
151779,352,MAPC Region,2015,813,Membership Organizations & Associations,23063,2020,,,
151796,352,MAPC Region,2015,814,Private Households,4984,4588,,,
151813,352,MAPC Region,2015,921,"Executive, Legislative, & Gen Government",5642,93,,,
151847,352,MAPC Region,2015,923,Administration of Human Resource Program,140,5,,,
151864,352,MAPC Region,2015,924,Administration of Environmental Programs,2831,39,,,
151881,352,MAPC Region,2015,925,Community and Housing Program Admin,1684,10,,,
151898,352,MAPC Region,2015,926,Administration of Economic Programs,5690,67,,,
151915,352,MAPC Region,2015,928,National Security & International Affair,725,8,,,
150442,352,MAPC Region,2015,101,Goods-Producing Domain,179957,11566,,,
150459,352,MAPC Region,2015,102,Service-Providing Domain,1786716,103701,,,
150476,352,MAPC Region,2015,111,Crop Production,523,23,,,
150493,352,MAPC Region,2015,114,"Fishing, Hunting and Trapping",122,71,,,
150510,352,MAPC Region,2015,115,Agriculture & Forestry Support Activity,168,29,,,
150517,352,MAPC Region,2015,213,Support Activities for Mining,5,3,,,
150534,352,MAPC Region,2015,221,Utilities,4091,81,,,
150551,352,MAPC Region,2015,236,Construction of Buildings,15717,2275,,,
150568,352,MAPC Region,2015,237,Heavy and Civil Engineering Construction,9692,310,,,
151091,352,MAPC Region,2015,451,Sporting Goods/Hobby/Book/Music Stores,7714,630,,,
150585,352,MAPC Region,2015,238,Specialty Trade Contractors,48019,5679,,,
150602,352,MAPC Region,2015,311,Food Manufacturing,10673,324,,,
150609,352,MAPC Region,2015,312,Beverage & Tobacco Product Manufacturing,612,20,,,
150632,352,MAPC Region,2015,314,Textile Product Mills,143,21,,,
150649,352,MAPC Region,2015,315,Apparel Manufacturing,493,10,,,
150665,352,MAPC Region,2015,316,Leather and Allied Product Manufacturing,57,3,,,
150680,352,MAPC Region,2015,321,Wood Product Manufacturing,110,9,,,
150697,352,MAPC Region,2015,322,Paper Manufacturing,646,17,,,
150714,352,MAPC Region,2015,323,Printing and Related Support Activities,3230,259,,,
150733,352,MAPC Region,2015,325,Chemical Manufacturing,8552,105,,,
150750,352,MAPC Region,2015,326,Plastics & Rubber Products Manufacturing,939,32,,,
150767,352,MAPC Region,2015,327,Nonmetallic Mineral Product Mfg,344,33,,,
150785,352,MAPC Region,2015,332,Fabricated Metal Product Manufacturing,7534,369,,,
150802,352,MAPC Region,2015,333,Machinery Manufacturing,2496,94,,,
150836,352,MAPC Region,2015,335,Electrical Equipment and Appliances,891,32,,,
150819,352,MAPC Region,2015,334,Computer and Electronic Product Mfg,21426,273,,,
150853,352,MAPC Region,2015,336,Transportation Equipment Manufacturing,414,10,,,
150887,352,MAPC Region,2015,339,Miscellaneous Manufacturing,3614,176,,,
150870,352,MAPC Region,2015,337,Furniture and Related Product Mfg,501,46,,,
150904,352,MAPC Region,2015,423,"Merchant Wholesalers, Durable Goods",31100,2024,,,
150921,352,MAPC Region,2015,424,"Merchant Wholesalers, Nondurable Goods",20345,1018,,,
150938,352,MAPC Region,2015,425,Electronic Markets and Agents/Brokers,10621,2307,,,
150955,352,MAPC Region,2015,441,Motor Vehicle and Parts Dealers,16030,733,,,
150972,352,MAPC Region,2015,442,Furniture and Home Furnishings Stores,5449,513,,,
150989,352,MAPC Region,2015,443,Electronics and Appliance Stores,4430,308,,,
151006,352,MAPC Region,2015,444,Building Material & Garden Supply Stores,8984,545,,,
151023,352,MAPC Region,2015,445,Food and Beverage Stores,48881,2454,,,
151040,352,MAPC Region,2015,446,Health and Personal Care Stores,13893,1230,,,
151057,352,MAPC Region,2015,447,Gasoline Stations,4482,756,,,
151074,352,MAPC Region,2015,448,Clothing and Clothing Accessories Stores,22014,1862,,,
151108,352,MAPC Region,2015,452,General Merchandise Stores,19803,303,,,
151125,352,MAPC Region,2015,453,Miscellaneous Store Retailers,9391,1105,,,
151142,352,MAPC Region,2015,454,Nonstore Retailers,7203,492,,,
151159,352,MAPC Region,2015,481,Air Transportation,7097,53,,,
151173,352,MAPC Region,2015,483,Water Transportation,24,7,,,
151190,352,MAPC Region,2015,484,Truck Transportation,5091,490,,,
151207,352,MAPC Region,2015,485,Transit and Ground Passenger Transport,14548,359,,,
151224,352,MAPC Region,2015,487,Scenic and Sightseeing Transportation,1233,39,,,
151241,352,MAPC Region,2015,488,Support Activities for Transportation,5146,341,,,
151258,352,MAPC Region,2015,492,Couriers and Messengers,2450,92,,,
151275,352,MAPC Region,2015,493,Warehousing and Storage,1128,30,,,
151292,352,MAPC Region,2015,511,Publishing Industries,27110,789,,,
151309,352,MAPC Region,2015,512,Motion Picture & Sound Recording Ind,2012,261,,,
151326,352,MAPC Region,2015,515,Broadcasting (except Internet),2409,44,,,
151349,352,MAPC Region,2015,517,Telecommunications,6798,519,,,
151366,352,MAPC Region,2015,518,"ISPs, Search Portals, & Data Processing",2823,167,,,
151383,352,MAPC Region,2015,519,Other Information Services,8863,392,,,
151400,352,MAPC Region,2015,522,Credit Intermediation & Related Activity,32263,1685,,,
151417,352,MAPC Region,2015,523,Financial Investment & Related Activity,37949,2152,,,
151434,352,MAPC Region,2015,524,Insurance Carriers & Related Activities,41582,1718,,,
151451,352,MAPC Region,2015,525,"Funds, Trusts & Other Financial Vehicles",10,15,,,
151485,352,MAPC Region,2015,532,Rental and Leasing Services,5616,442,,,
151468,352,MAPC Region,2015,531,Real Estate,23599,3282,,,
151507,352,MAPC Region,2015,541,Professional and Technical Services,226210,18334,,,
151524,352,MAPC Region,2015,551,Management of Companies and Enterprises,41356,723,,,
151541,352,MAPC Region,2015,561,Administrative and Support Services,104167,5620,,,
151558,352,MAPC Region,2015,562,Waste Management and Remediation Service,3299,186,,,
151575,352,MAPC Region,2015,611,Educational Services,164119,1782,,,
151591,352,MAPC Region,2014,621,Ambulatory Health Care Services,90745,5647,,,
151608,352,MAPC Region,2014,622,Hospitals,98857,51,,,
151625,352,MAPC Region,2014,623,Nursing and Residential Care Facilities,41634,873,,,
151642,352,MAPC Region,2014,624,Social Assistance,58944,11872,,,
151659,352,MAPC Region,2014,711,Performing Arts and Spectator Sports,7864,462,,,
151676,352,MAPC Region,2014,712,"Museums, Parks and Historical Sites",3301,71,,,
151693,352,MAPC Region,2014,713,"Amusement, Gambling & Recreation Ind",21004,1171,,,
151710,352,MAPC Region,2014,721,Accommodation,19419,337,,,
151727,352,MAPC Region,2014,722,Food Services and Drinking Places,140235,7846,,,
151744,352,MAPC Region,2014,811,Repair and Maintenance,12170,2359,,,
151761,352,MAPC Region,2014,812,Personal and Laundry Services,25191,3418,,,
151829,352,MAPC Region,2014,922,"Justice, Public Order, and Safety Activi",13326,182,,,
151795,352,MAPC Region,2014,814,Private Households,4960,4463,,,
151778,352,MAPC Region,2014,813,Membership Organizations & Associations,24585,2048,,,
151812,352,MAPC Region,2014,921,"Executive, Legislative, & Gen Government",5775,95,,,
151846,352,MAPC Region,2014,923,Administration of Human Resource Program,132,5,,,
151863,352,MAPC Region,2014,924,Administration of Environmental Programs,2884,27,,,
151880,352,MAPC Region,2014,925,Community and Housing Program Admin,1760,8,,,
151897,352,MAPC Region,2014,926,Administration of Economic Programs,5729,68,,,
151914,352,MAPC Region,2014,928,National Security & International Affair,632,7,,,
150441,352,MAPC Region,2014,101,Goods-Producing Domain,175466,11313,,,
150458,352,MAPC Region,2014,102,Service-Providing Domain,1748084,100551,,,
150475,352,MAPC Region,2014,111,Crop Production,490,24,,,
150492,352,MAPC Region,2014,114,"Fishing, Hunting and Trapping",123,72,,,
150509,352,MAPC Region,2014,115,Agriculture & Forestry Support Activity,131,26,,,
150516,352,MAPC Region,2014,213,Support Activities for Mining,44,6,,,
150533,352,MAPC Region,2014,221,Utilities,4150,79,,,
150550,352,MAPC Region,2014,236,Construction of Buildings,14729,2203,,,
150567,352,MAPC Region,2014,237,Heavy and Civil Engineering Construction,8253,307,,,
150584,352,MAPC Region,2014,238,Specialty Trade Contractors,43601,5474,,,
150608,352,MAPC Region,2014,312,Beverage & Tobacco Product Manufacturing,95,6,,,
150713,352,MAPC Region,2014,323,Printing and Related Support Activities,3370,288,,,
150601,352,MAPC Region,2014,311,Food Manufacturing,11314,303,,,
150631,352,MAPC Region,2014,314,Textile Product Mills,127,14,,,
150648,352,MAPC Region,2014,315,Apparel Manufacturing,382,8,,,
150664,352,MAPC Region,2014,316,Leather and Allied Product Manufacturing,59,3,,,
150679,352,MAPC Region,2014,321,Wood Product Manufacturing,99,8,,,
150696,352,MAPC Region,2014,322,Paper Manufacturing,619,17,,,
150732,352,MAPC Region,2014,325,Chemical Manufacturing,6352,96,,,
150749,352,MAPC Region,2014,326,Plastics & Rubber Products Manufacturing,927,29,,,
